STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
380,MSB,3.0,15,TPB,25315,15
381,TPB,2.0,20,BVBH,25320,20
382,TPB,1.0,18,Indovina,25318,18
383,SHB,3.0,8,MSB,25308,8
384,ABBK,1.0,23,Fubon,25323,23
385,EIBV,1.0,23,MSB,25323,23
386,MSB,1.0,23,VCCB,25323,23
387,OCB,2.0,12,NABV,25312,12
388,NCB,5.0,23,ABBK,25323,23
389,SEAV,2.0,25,ABBK,25325,25
390,SEAV,2.0,25,MSB,25325,25
391,SEAV,10.0,25,NCB,25325,25
392,MSB,2.0,35,PVCB,25335,35
393,MSB,1.0,33,TPB,25333,33
394,SEAV,2.0,38,ABBK,25338,38
395,VIB,3.0,30,MSB,25330,30
396,OCB,4.0,30,SEAV,25330,30
397,SEAV,3.0,33,SABH,25333,33
398,PVCB,3.0,33,ABBK,25333,33
399,SEAV,3.0,33,SABH,25333,33
400,TPB,3.0,32,SEAV,25332,32
401,OCB,5.0,29,SEAV,25329,29
402,BIDV,5.0,32,SEAV,25332,32
403,MSB,4.0,26,SEAV,25326,26
404,OCB,5.0,20,SEAV,25320,20
405,NCB,2.0,17,BIDV,25317,17
